chapter,transcript,is_present,id,start_frame,end_frame
ch07,what toys have we got <name>?,true,ch07_97412_98926,4871,4946
ch07,what's this?,true,ch07_100464_100914,5023,5046
ch07,are you sure?,true,ch07_103529_104776,5176,5239
ch07,no,true,ch07_108270_110409,5414,5520
ch07,ah,true,ch07_110503_110817,5525,5541
ch07,lizard,true,ch07_111432_112822,5572,5641
ch07,i think you might be right,true,ch07_112881_115191,5644,5760
ch07,should we make the lizard walk along?,true,ch07_115310_116493,5766,5825
ch07,yeah,true,ch07_117671_118263,5884,5913
ch07,let's make let's make the different,true,ch07_118329_119931,5916,5997
ch07,the way they did the the animals move,true,ch07_120650_122529,6032,6126
ch07,so how would a lizard move across the table?,true,ch07_122529_124479,6126,6224
ch07,that's right,true,ch07_129812_130606,6491,6530
ch07,are lizards fast or slow do you think?,true,ch07_130810_132510,6540,6626
ch07,<laugh>,true,ch07_135200_136628,6760,6831
ch07,then bring it back again,true,ch07_136928_137896,6846,6895
ch07,ah,true,ch07_139560_139996,6978,7000
ch07,mr lizard,true,ch07_139996_140659,7000,7033
ch07,do you see him looking happy or sad today?,true,ch07_140659_142863,7033,7143
ch07,<laugh>,true,ch07_146936_147358,7347,7368
ch07,grumpy,true,ch07_147451_148492,7373,7425
ch07,are you grumpy mr lizard?,true,ch07_149328_150817,7466,7541
ch07,what should we call him,true,ch07_151450_152364,7572,7618
ch07,no,true,ch07_154885_155095,7744,7755
ch07,that's not a nice name,true,ch07_155095_156213,7755,7811
ch07,let's think of another name,true,ch07_156316_157424,7816,7871
ch07,mr fast the lizard,true,ch07_163098_164348,8155,8217
ch07,mr fast <noise>,true,ch07_165018_166902,8251,8345
ch07,<noise>,true,ch07_167333_168115,8367,8406
ch07,he's really fast,true,ch07_171263_172343,8563,8617
ch07,do lizards bounce?,true,ch07_173278_174368,8664,8718
ch07,i don't think they bounce,true,ch07_177204_178378,8860,8919
ch07,i don't think so,true,ch07_183117_183830,9156,9192
